key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05033-020204-1,507.8,4.79,0.55,1,899,0.74,0,0.22,0,0.64,0.27,0.49,0.92,0.18,0.21,0.79,0.03,0.32,2002,0.57,0,0,0
05033-020204-2,126.4,14.87,0.53,0.12,791,0.36,0,0.31,0.01,0.24,0.38,0.1,0.84,0.26,0.29,0.59,0.05,0.13,1984,0.48,0,0.08,0
05033-020204-3,203.1,6.32,0.46,0,356,0.48,0,0.22,0.03,0.79,0.14,0.41,0.86,0.63,0.24,0.77,0.13,0.18,1991,0.18,0,0,0
05033-020205-1,11.1,96.62,0.54,0.36,379,0.42,0,0.19,0,0.43,0.38,0.12,1,0.35,0.15,0.86,0.05,0.06,1997,0.31,0,0.12,0
05033-020205-2,54.1,51.64,0.57,0.13,783,0.52,0,0.09,0.02,0.62,0.2,0.33,0.86,0.42,0.3,0.91,0.15,0.1,1996,0.48,0.19,0.05,0
05033-020206-1,37,16.07,0.48,0.25,266,0.51,0,0.28,0,0.58,0.38,0.42,0.86,0.28,0.43,0.52,0.08,0.05,1982,0.64,0,0,0
05033-020206-2,34.8,28.83,0.51,0.42,457,0.34,0,0.34,0.01,0.38,0.35,0.15,0.78,0.29,0.25,0.59,0.12,0.21,1986,0.55,0,0.04,0
05033-020207-1,272.1,10.25,0.52,0.24,736,0.65,0.16,0.19,0.01,0.65,0.13,0.55,0.95,0.46,0.24,0.73,0.1,0.12,1998,0.67,0.04,0.04,0
05033-020207-2,108.6,13.04,0.56,0,494,0.54,0,0.14,0,0.32,0.16,0.47,0.98,0.23,0.25,0.69,0.16,0.25,1988,0.48,0,0,0
05033-020208-1,2276,1.09,0.46,0.54,568,0.56,0,0.48,0.08,0.71,0.08,0.23,0.9,0.36,0.24,0.63,0.12,0.13,1994,0.36,0.24,0.06,0
05033-020208-2,1410.3,0.73,0.59,0.16,337,0.68,0,0.3,0,0.55,0.53,0.58,0.97,0.15,0.26,0.65,0.12,0.38,2000,0.31,0,0.08,0
05033-020301-1,2253.6,0.74,0.5,0.31,416,0.52,0,0.27,0.01,0.5,0.24,0.69,0.84,0.39,0.22,0.65,0.03,0.16,1975,0.53,0.23,0.12,0
