Unnamed: 0	population_den	Area	female_per	children_living_with_single_parents	owner_occupied	some_college_more	dropped_out_schoolOrCollege	sep_wid_div	unemp	debt_housing_units	housing_retirement_income	females_per_tier1_jobs	household_income_less_than_20k	household_size_greater_than_equal_3	age_35_to_54	family_household	household_self_emp	hh_dividends	yr_built	electricity_cost_per	gross_rent	pool_publicTransport	bike
"Block Group 3, Census Tract 4801, Cleburne County, Arkansas"	36.8	39.22	0.49	0.47	495	0.45	0	0.22	0.05	0.43	0.26	0.49	0.89	0.27	0.25	0.8	0.23	0.41	1990	0.78	0.18	0	0
"Block Group 1, Census Tract 4802.01, Cleburne County, Arkansas"	19.2	38.81	0.63	0	314	0.75	0	0.26	0.01	0.36	0.5	0.96	0.92	0.27	0.19	0.67	0.05	0.23	1995	0.57	0	0	0
"Block Group 2, Census Tract 4802.01, Cleburne County, Arkansas"	42.7	25.04	0.5	0.23	327	0.47	0	0.18	0.02	0.58	0.31	0.45	0.77	0.3	0.23	0.72	0.16	0.21	1990	0.73	0.33	0.09	0
"Block Group 1, Census Tract 4802.03, Cleburne County, Arkansas"	40.8	23.27	0.47	0.03	419	0.47	0	0.19	0.03	0.62	0.58	0.43	0.81	0.23	0.21	0.67	0.1	0.16	1985	0.75	0	0.06	0
"Block Group 2, Census Tract 4802.03, Cleburne County, Arkansas"	47.2	13.48	0.54	0.72	263	0.45	0.38	0.26	0	0.4	0.34	0.38	0.76	0.18	0.23	0.7	0.18	0.2	1984	0.66	0.08	0.14	0
"Block Group 3, Census Tract 4802.03, Cleburne County, Arkansas"	14.3	26.35	0.48	0.82	184	0.53	0	0.48	0	0.39	0.22	0.71	0.82	0.28	0.21	0.46	0.04	0.31	1991	0.57	0	0.2	0
"Block Group 1, Census Tract 4802.04, Cleburne County, Arkansas"	14.7	56.24	0.55	0.17	292	0.3	0	0.27	0	0.45	0.2	0.17	0.76	0.22	0.15	0.66	0.21	0.22	1987	0.37	0.47	0.18	0
"Block Group 1, Census Tract 4803.01, Cleburne County, Arkansas"	520.5	2.35	0.42	0.19	362	0.21	0	0.24	0.03	0.59	0.36	0.42	0.76	0.34	0.18	0.8	0.13	0.1	1982	0.77	0.12	0.21	0
"Block Group 2, Census Tract 4803.01, Cleburne County, Arkansas"	175.2	5.11	0.49	0	277	0.56	0	0.26	0	0.42	0.44	0.11	0.95	0.29	0.16	0.51	0.21	0.32	1997	0.85	0	0.08	0
"Block Group 1, Census Tract 4803.02, Cleburne County, Arkansas"	1664	0.88	0.43	0.12	255	0.51	0	0.2	0.04	0.35	0.19	0.47	0.94	0.5	0.16	0.65	0.02	0.03	1972	0.5	0	0.07	0
"Block Group 2, Census Tract 4803.02, Cleburne County, Arkansas"	669.9	2.51	0.51	0.12	695	0.64	0	0.4	0.03	0.18	0.26	0.3	0.85	0.15	0.2	0.48	0.16	0.43	1981	0.3	0	0.03	0
"Block Group 1, Census Tract 4804, Cleburne County, Arkansas"	71.4	18.56	0.53	0.42	388	0.34	0	0.29	0.12	0.47	0.35	0.47	0.9	0.18	0.1	0.48	0.1	0.25	1993	0.76	0.23	0	0
"Block Group 2, Census Tract 4804, Cleburne County, Arkansas"	628.4	3.52	0.5	0.19	502	0.37	0	0.31	0.03	0.41	0.16	0.54	0.73	0.36	0.27	0.5	0.04	0.03	1979	0.51	0.11	0.11	0
"Block Group 3, Census Tract 4804, Cleburne County, Arkansas"	191.2	6.35	0.47	0.18	337	0.64	0	0.28	0	0.5	0.4	0.46	0.93	0.38	0.25	0.76	0.28	0.39	1980	0.41	0.34	0.09	0
"Block Group 1, Census Tract 4805.01, Cleburne County, Arkansas"	27.9	56.21	0.6	0.3	479	0.51	0	0.23	0	0.45	0.32	0.41	0.69	0.38	0.26	0.8	0.1	0.29	1994	0.65	0.52	0.14	0
"Block Group 2, Census Tract 4805.01, Cleburne County, Arkansas"	50.2	32.27	0.44	0.55	515	0.33	0.18	0.25	0.06	0.41	0.25	0.75	0.83	0.43	0.29	0.78	0.1	0.12	1991	0.48	0.16	0.16	0
"Block Group 1, Census Tract 4805.02, Cleburne County, Arkansas"	53.3	29.12	0.46	0.29	453	0.42	0.3	0.24	0.06	0.54	0.24	0.48	0.76	0.36	0.26	0.67	0.06	0.2	1986	0.51	0.07	0.04	0
"Block Group 2, Census Tract 4805.02, Cleburne County, Arkansas"	33.6	32.69	0.53	0	442	0.59	0	0.14	0.01	0.49	0.28	0.18	0.8	0.27	0.2	0.71	0.12	0.21	1992	0.55	0.15	0.11	0
"Block Group 3, Census Tract 4805.02, Cleburne County, Arkansas"	22.5	27.61	0.63	0.29	287	0.42	0	0.31	0.03	0.48	0.48	0.47	0.96	0.3	0.32	0.62	0.03	0.28	1992	0.74	0	0.03	0
"Block Group 1, Census Tract 9701, Cleveland County, Arkansas"	20.7	64.59	0.55	0.13	361	0.37	0	0.29	0	0.45	0.18	0.58	0.97	0.5	0.36	0.79	0.01	0.19	1991	0.79	0	0.05	0
"Block Group 2, Census Tract 9701, Cleveland County, Arkansas"	19.2	47.42	0.5	0.66	262	0.34	0	0.38	0.02	0.26	0.16	0.69	0.62	0.2	0.18	0.49	0.07	0.12	1988	0.26	0.21	0.01	0
"Block Group 3, Census Tract 9701, Cleveland County, Arkansas"	31.8	22.36	0.63	0.83	196	0.41	0	0.29	0.03	0.32	0.26	0.89	0.38	0.14	0.21	0.47	0	0.12	1981	0.46	0.16	0.22	0
"Block Group 4, Census Tract 9701, Cleveland County, Arkansas"	8.6	149.63	0.53	0	385	0.62	0	0.18	0	0.53	0.23	0.38	0.95	0.38	0.11	0.82	0.2	0.1	1983	0.65	0.15	0.14	0
"Block Group 1, Census Tract 9702, Cleveland County, Arkansas"	17.3	80.23	0.51	0.07	446	0.39	0	0.1	0	0.43	0.19	0.38	0.9	0.45	0.29	0.82	0.17	0.24	1979	0.84	0.07	0.06	0
"Block Group 2, Census Tract 9702, Cleveland County, Arkansas"	2.8	102.74	0.62	0	106	0.47	0	0.19	0.03	0.4	0.15	0.4	0.67	0.38	0.11	0.43	0.08	0.15	1990	0.6	0	0	0
"Block Group 3, Census Tract 9702, Cleveland County, Arkansas"	16.5	48.92	0.65	0.48	202	0.53	0.13	0.24	0	0.18	0.13	0.62	0.79	0.25	0.35	0.58	0.07	0.14	1979	0.38	0.13	0.03	0
"Block Group 4, Census Tract 9702, Cleveland County, Arkansas"	11.1	82.02	0.41	0.57	292	0.43	0	0.17	0.02	0.43	0.28	0.67	0.84	0.37	0.32	0.75	0.13	0.07	1992	0.68	0.2	0.05	0
"Block Group 1, Census Tract 9501, Columbia County, Arkansas"	9.2	83.5	0.45	0.54	326	0.31	0	0.13	0	0.42	0.1	0.31	0.7	0.25	0.56	0.67	0.14	0.03	1985	0.65	0	0.07	0
"Block Group 2, Census Tract 9501, Columbia County, Arkansas"	58.1	32.6	0.48	0	427	0.46	0	0.16	0.02	0.54	0.28	0.48	0.75	0.38	0.22	0.78	0.1	0.3	1992	0.48	0.51	0	0
"Block Group 3, Census Tract 9501, Columbia County, Arkansas"	11.8	110.71	0.52	0.09	248	0.4	0.12	0.13	0.02	0.52	0.1	0.77	0.73	0.65	0.16	0.85	0.31	0.04	1987	0.4	0.45	0.01	0
"Block Group 4, Census Tract 9501, Columbia County, Arkansas"	6.7	70.97	0.5	0.23	174	0.42	0	0.15	0	0.41	0.2	0.33	0.89	0.26	0.21	0.69	0.09	0.33	1984	0.57	0	0	0
"Block Group 1, Census Tract 9502, Columbia County, Arkansas"	52.5	16.11	0.48	0	203	0.6	0	0.15	0.01	0.23	0.29	0.44	0.87	0.15	0.14	0.8	0.11	0.35	1978	0.66	0.03	0.29	0
"Block Group 2, Census Tract 9502, Columbia County, Arkansas"	108.8	19.51	0.47	0.61	507	0.56	0	0.17	0.03	0.23	0.26	0.76	0.77	0.37	0.22	0.66	0.03	0.1	1981	0.54	0.15	0.07	0
"Block Group 3, Census Tract 9502, Columbia County, Arkansas"	16.7	51.94	0.53	0.33	428	0.24	0	0.33	0.03	0.28	0.17	0.26	0.59	0.13	0.17	0.53	0.04	0.07	1980	0.62	0.1	0	0
"Block Group 4, Census Tract 9502, Columbia County, Arkansas"	5.6	68.74	0.32	0	125	0.52	0	0.08	0	0	0.46	0.31	0.72	0.22	0.21	0.78	0.28	0.33	1960	0.5	0	0	0
"Block Group 1, Census Tract 9503.01, Columbia County, Arkansas"	7.4	94.02	0.55	0	243	0.41	0	0.08	0.03	0.6	0.31	0.47	0.95	0.27	0.17	0.95	0.22	0.52	1992	0.54	1	0	0
"Block Group 2, Census Tract 9503.01, Columbia County, Arkansas"	10	48.18	0.39	0	200	0.44	1	0.2	0	0.58	0.21	0	0.73	0.16	0.04	0.58	0	0.07	1982	0.29	0	0	0
"Block Group 1, Census Tract 9503.02, Columbia County, Arkansas"	26.2	56.23	0.59	0.56	550	0.39	0	0.1	0.02	0.46	0.29	0.93	0.65	0.34	0.37	0.65	0.05	0.26	1991	0.44	0	0	0
"Block Group 2, Census Tract 9503.02, Columbia County, Arkansas"	13.5	100.97	0.51	0.2	481	0.38	0	0.27	0.01	0.32	0.13	0.65	0.83	0.33	0.26	0.72	0.09	0.2	1972	0.62	0	0.17	0
"Block Group 1, Census Tract 9504.01, Columbia County, Arkansas"	2066.6	1.21	0.47	0	627	0.64	0	0.21	0.04	0.58	0.17	0.61	0.92	0.34	0.21	0.6	0.19	0.22	1968	0.42	0	0.04	0.02
"Block Group 2, Census Tract 9504.01, Columbia County, Arkansas"	2084.5	0.95	0.49	0	173	0.91	0	0.04	0.01	0.4	0.24	0.45	0.79	0.32	0.07	0.52	0.2	0.34	1979	0.53	0	0.06	0.02
"Block Group 1, Census Tract 9504.02, Columbia County, Arkansas"	112.9	3.13	0.47	0	72	0.53	0.03	0.18	0	0.51	0.38	0.57	1	0.15	0.37	0.75	0	0.26	1948	0.31	0	0.43	0
"Block Group 2, Census Tract 9504.02, Columbia County, Arkansas"	2260.5	0.84	0.63	0.89	254	0.58	0	0.29	0.06	0.48	0.1	0.42	0.59	0.48	0.22	0.57	0.09	0.07	1956	0.81	0.27	0.07	0
"Block Group 1, Census Tract 9505, Columbia County, Arkansas"	1426.7	1.41	0.63	0.79	303	0.2	0	0.53	0	0.4	0.12	0.38	0.41	0.23	0.24	0.39	0.03	0.17	1979	0.82	0.12	0.11	0
"Block Group 2, Census Tract 9505, Columbia County, Arkansas"	251.7	3.29	0.52	0.84	99	0.61	0	0.18	0.04	0.46	0.07	0.33	0.57	0.6	0.17	0.82	0.09	0	1970	0.71	0.32	0	0
"Block Group 3, Census Tract 9505, Columbia County, Arkansas"	392.8	1.75	0.43	0.46	130	0.72	1	0.34	0.06	0.41	0.06	0.14	0.58	0.46	0.23	0.5	0.11	0.04	1972	0.39	0.26	0.08	0
"Block Group 1, Census Tract 9501, Conway County, Arkansas"	22.8	63.87	0.49	0.12	462	0.45	0	0.28	0.06	0.34	0.38	0.56	0.78	0.24	0.28	0.68	0.17	0.27	1981	0.56	0.04	0.2	0
"Block Group 2, Census Tract 9501, Conway County, Arkansas"	19.9	92.05	0.5	0.33	660	0.48	0	0.25	0.05	0.47	0.13	0.43	0.82	0.27	0.22	0.61	0.31	0.29	1982	0.62	0	0.02	0
"Block Group 3, Census Tract 9501, Conway County, Arkansas"	26.5	51.68	0.54	0.05	463	0.41	0	0.11	0.05	0.56	0.17	0.42	1	0.32	0.26	0.81	0.05	0.15	1993	0.89	0	0.09	0
"Block Group 1, Census Tract 9502, Conway County, Arkansas"	12.5	72.65	0.39	0	314	0.24	0	0.1	0.09	0.33	0.12	0.55	0.89	0.22	0.24	0.67	0.1	0.18	1982	0.54	0	0.05	0
"Block Group 2, Census Tract 9502, Conway County, Arkansas"	30.8	20.44	0.42	0.03	233	0.55	0	0.21	0	0.4	0.3	0.67	0.86	0.29	0.2	0.6	0.11	0.35	1983	0.76	0.08	0.3	0
"Block Group 3, Census Tract 9502, Conway County, Arkansas"	28.6	53.41	0.42	0.24	546	0.45	0.6	0.18	0	0.32	0.29	0.41	0.69	0.49	0.33	0.73	0.11	0.2	1994	0.5	0.12	0.06	0
"Block Group 1, Census Tract 9503, Conway County, Arkansas"	447.4	3.5	0.56	0	372	0.58	0	0.28	0.01	0.54	0.17	0.72	0.87	0.36	0.2	0.75	0.09	0.12	1991	0.73	0.12	0.14	0
"Block Group 2, Census Tract 9503, Conway County, Arkansas"	66	25.32	0.49	0.65	233	0.66	0.09	0.26	0.07	0.42	0.19	0.26	0.68	0.49	0.24	0.56	0.13	0.05	1981	0.69	0.11	0.21	0
"Block Group 3, Census Tract 9503, Conway County, Arkansas"	2575.9	0.4	0.57	0.81	93	0.21	0	0.28	0.09	0.68	0.05	0.34	0.31	0.38	0.15	0.54	0.09	0.04	1960	0.36	0.3	0.15	0
"Block Group 4, Census Tract 9503, Conway County, Arkansas"	729.4	1.5	0.49	0.43	319	0.48	0	0.4	0	0.86	0.32	0.65	0.83	0.16	0.16	0.53	0	0.31	1966	0.6	0.02	0.01	0
"Block Group 1, Census Tract 9504, Conway County, Arkansas"	81.9	16.74	0.68	0.65	260	0.38	0	0.3	0.06	0.39	0.3	0.39	0.56	0.34	0.2	0.66	0.17	0.11	1961	0.49	0.31	0.25	0
"Block Group 2, Census Tract 9504, Conway County, Arkansas"	1260.9	1.04	0.47	0.56	221	0.58	0	0.28	0.03	0.33	0.22	0.53	0.84	0.38	0.27	0.65	0.01	0.14	1966	0.5	0.05	0.15	0
"Block Group 1, Census Tract 9505, Conway County, Arkansas"	28.3	43.27	0.45	0.3	395	0.42	0.21	0.28	0.02	0.47	0.3	0.43	0.86	0.31	0.26	0.58	0.11	0.08	1975	0.54	0.1	0.16	0
"Block Group 2, Census Tract 9505, Conway County, Arkansas"	62.9	28.79	0.51	0.38	518	0.53	0	0.22	0.03	0.51	0.32	0.49	0.91	0.49	0.29	0.84	0.16	0.12	1993	0.75	0.6	0.19	0
"Block Group 1, Census Tract 9506, Conway County, Arkansas"	8.5	58.31	0.5	0.08	154	0.56	0	0.42	0.02	0.2	0.44	0.54	0.98	0.2	0.2	0.79	0.13	0.22	1979	0.43	0	0.03	0
"Block Group 2, Census Tract 9506, Conway County, Arkansas"	72.7	18.97	0.51	0.33	430	0.48	0	0.28	0.04	0.48	0.21	0.44	0.8	0.35	0.24	0.65	0.14	0.22	1985	0.56	0.25	0.09	0
"Block Group 1, Census Tract 1.01, Craighead County, Arkansas"	3205.9	0.29	0.56	0.46	172	0.47	0.6	0.2	0.04	0.67	0.2	0.42	0.7	0.2	0.24	0.48	0.16	0.09	1966	0.53	0.18	0.15	0
"Block Group 2, Census Tract 1.01, Craighead County, Arkansas"	3743.7	0.26	0.62	0.95	180	0.57	0.02	0.42	0.13	0.68	0.05	0.27	0.6	0.29	0.34	0.39	0.09	0.07	1983	0.77	0.27	0.1	0
"Block Group 3, Census Tract 1.01, Craighead County, Arkansas"	3294.8	0.32	0.37	0.2	166	0.73	0	0.22	0.01	0.28	0.19	0.23	0.77	0.47	0.4	0.66	0.55	0.34	1948	0.44	0.2	0.22	0
"Block Group 4, Census Tract 1.01, Craighead County, Arkansas"	2227.2	0.28	0.42	0	17	0.6	0.06	0.38	0.01	0	0.03	0.4	0.53	0.19	0.13	0.33	0.13	0.12	1978	0.52	0.07	0.02	0
"Block Group 1, Census Tract 1.02, Craighead County, Arkansas"	2007.8	0.49	0.51	0.8	251	0.62	0	0.29	0.05	0.44	0.28	0.38	0.81	0.27	0.24	0.45	0.11	0.36	1983	0.4	0.28	0.03	0
"Block Group 2, Census Tract 1.02, Craighead County, Arkansas"	2739	0.49	0.48	0.28	113	0.57	0	0.25	0.03	0.49	0.11	0.51	0.7	0.25	0.22	0.45	0.15	0.05	1978	0.79	0.2	0.14	0
"Block Group 3, Census Tract 1.02, Craighead County, Arkansas"	973.9	0.96	0.58	0.56	326	0.75	0	0.16	0.02	0.44	0.29	0.39	1	0.33	0.25	0.76	0.07	0.3	1975	0.4	0	0.11	0
"Block Group 1, Census Tract 2, Craighead County, Arkansas"	968.8	1.08	0.5	1	133	0.5	0	0.35	0.04	0.5	0.07	0.46	0.69	0.35	0.34	0.54	0.1	0.12	1978	0.61	0.34	0.08	0
"Block Group 2, Census Tract 2, Craighead County, Arkansas"	4165.9	0.39	0.52	0.53	355	0.48	0.05	0.4	0.02	0.42	0.26	0.24	0.74	0.32	0.27	0.42	0.08	0.09	1982	0.41	0.22	0.23	0
"Block Group 3, Census Tract 2, Craighead County, Arkansas"	5729.3	0.27	0.45	0.64	220	0.51	0.11	0.28	0.1	0.36	0.22	0.3	0.82	0.5	0.23	0.6	0.22	0.14	1964	0.46	0.44	0.26	0
"Block Group 1, Census Tract 3, Craighead County, Arkansas"	2175.7	0.67	0.63	0.25	497	0.78	0	0.25	0.03	0.47	0.39	0.61	1	0.36	0.18	0.66	0.18	0.35	1978	0.28	0.16	0.07	0
"Block Group 2, Census Tract 3, Craighead County, Arkansas"	3964.2	0.37	0.46	0.23	403	0.56	0	0.29	0.02	0.58	0.08	0.82	0.82	0.27	0.51	0.7	0.18	0.04	1971	0.27	0.08	0	0
"Block Group 3, Census Tract 3, Craighead County, Arkansas"	1969.6	0.47	0.51	0.03	289	0.77	0	0.14	0.01	0.64	0.32	0.64	1	0.52	0.31	0.71	0.02	0.23	1974	0.27	0	0.04	0
"Block Group 4, Census Tract 3, Craighead County, Arkansas"	4011.2	0.19	0.52	0.18	74	0.51	0.3	0.03	0.08	0.89	0.26	0.09	0.85	0.85	0.1	0.89	0.25	0.2	1985	0.41	0.22	0.29	0
"Block Group 5, Census Tract 3, Craighead County, Arkansas"	4812.4	0.13	0.61	0.21	120	0.76	0	0.3	0	0.71	0.17	0.09	0.79	0.49	0.07	0.75	0	0.18	1974	0.56	0.36	0.24	0
"Block Group 6, Census Tract 3, Craighead County, Arkansas"	2211.9	0.33	0.55	0.31	255	0.66	0	0.42	0.03	0.29	0.21	0.26	0.68	0.12	0.25	0.45	0.15	0.21	1973	0.51	0.28	0.05	0
"Block Group 7, Census Tract 3, Craighead County, Arkansas"	3054.2	0.33	0.63	0	416	0.85	0	0.31	0	0.25	0.6	0.73	0.96	0.29	0.35	0.78	0.1	0.09	1965	0.13	0	0.07	0
"Block Group 1, Census Tract 4.01, Craighead County, Arkansas"	478.1	0.33	0.42	0	55	0.34	0	0	0	0.73	0.27	0	1	0.73	0.51	1	0	0	1986	0.27	0	0	0
"Block Group 2, Census Tract 4.01, Craighead County, Arkansas"	538.5	4.26	0.38	0.5	395	0.52	0	0.25	0.02	0.68	0.05	0.36	0.91	0.39	0.21	0.57	0.02	0.12	2005	0.6	0.3	0.12	0
"Block Group 3, Census Tract 4.01, Craighead County, Arkansas"	2133.5	0.5	0.54	0.54	90	0.42	0	0.12	0.02	0.84	0.25	0.42	0.48	0.37	0.25	0.53	0.03	0.04	1981	0.75	0.43	0	0
"Block Group 4, Census Tract 4.01, Craighead County, Arkansas"	155	5.31	0.5	0	199	0.61	0	0.19	0	0.22	0.12	0.68	0.85	0.58	0.36	0.92	0	0.16	2002	0.69	0	0.24	0
"Block Group 5, Census Tract 4.01, Craighead County, Arkansas"	145.7	12.14	0.53	0	734	0.45	0	0.24	0.04	0.58	0.04	0.71	0.79	0.34	0.28	0.58	0.14	0.16	1995	0.84	0.47	0.02	0
"Block Group 1, Census Tract 4.03, Craighead County, Arkansas"	780.5	1.7	0.64	0.06	344	0.6	0	0.42	0.01	0.62	0.21	0.22	0.68	0.21	0.17	0.36	0.15	0.25	1988	0.64	0.15	0	0
"Block Group 2, Census Tract 4.03, Craighead County, Arkansas"	3745.2	0.23	0.54	1	18	0.83	0	0.12	0.13	1	0.04	0.21	0.7	0.4	0.28	0.52	0	0	1999	1	0.27	0.02	0
"Block Group 3, Census Tract 4.03, Craighead County, Arkansas"	1753.9	0.49	0.83	0.79	86	0.17	0	0.23	0	1	0.21	0.01	1	0.08	0.37	0.83	0.62	0	1994	0.62	0.16	0.75	0
"Block Group 4, Census Tract 4.03, Craighead County, Arkansas"	1552.9	0.28	0.68	1	0	0.17	1	0.37	0	0	0	0	0.18	0.25	0.27	0.64	0	0	1994	0.82	0.45	0.53	0
"Block Group 1, Census Tract 4.04, Craighead County, Arkansas"	3310.6	0.88	0.5	0.45	716	0.49	0	0.22	0.05	0.92	0.39	0.51	1	0.66	0.24	0.82	0.08	0.13	1996	0.33	0	0.02	0.02
"Block Group 2, Census Tract 4.04, Craighead County, Arkansas"	3757.9	0.47	0.65	0.11	211	0.53	0	0.11	0	0.83	0.05	0.32	1	0.24	0.14	0.52	0	0.08	1997	0.71	0	0.05	0
"Block Group 3, Census Tract 4.04, Craighead County, Arkansas"	2043.1	0.5	0.34	0	22	0.26	0	0.2	0.16	0	0.14	0.87	0.94	0.56	0.23	0.81	0.25	0.06	1994	1	0	0	0
"Block Group 1, Census Tract 5.01, Craighead County, Arkansas"	911.6	3.32	0.54	0.24	854	0.84	0	0.16	0.02	0.63	0.15	0.78	0.92	0.52	0.27	0.67	0.12	0.19	2006	0.75	0.15	0.17	0
"Block Group 2, Census Tract 5.01, Craighead County, Arkansas"	427.7	4.86	0.55	0.05	416	0.63	0	0.15	0.01	0.73	0.12	0.77	0.93	0.54	0.36	0.76	0.07	0.1	2002	0.65	0.19	0.17	0
"Block Group 3, Census Tract 5.01, Craighead County, Arkansas"	2574.7	1.08	0.53	0.42	654	0.56	0	0.1	0.03	0.57	0.31	0.74	0.98	0.48	0.17	0.92	0.27	0.17	2003	0.45	0.34	0.05	0
"Block Group 4, Census Tract 5.01, Craighead County, Arkansas"	152.2	6.42	0.53	0	254	0.74	0	0.06	0	0.83	0.05	0.75	0.95	0.56	0.4	0.72	0.03	0.08	1997	0.54	0	0.27	0
"Block Group 1, Census Tract 5.02, Craighead County, Arkansas"	74.1	22.04	0.49	0.68	221	0.54	0	0.22	0.05	0.46	0.17	0.16	0.73	0.18	0.16	0.51	0.17	0.06	2006	0.76	0.34	0.05	0
"Block Group 2, Census Tract 5.02, Craighead County, Arkansas"	1406.3	1.97	0.43	0.52	548	0.69	0	0.3	0.06	0.55	0.15	0.78	0.81	0.38	0.18	0.55	0.15	0.07	2010	0.74	0.01	0.09	0
"Block Group 3, Census Tract 5.02, Craighead County, Arkansas"	726.1	2.05	0.43	0.89	59	0.46	0	0.35	0.14	1	0.08	0	0.79	0.32	0.24	0.41	0.16	0.03	1983	0.41	0.17	0.03	0
"Block Group 1, Census Tract 6.01, Craighead County, Arkansas"	203	8.58	0.48	0.64	571	0.54	0.09	0.27	0	0.66	0.14	0.72	0.9	0.45	0.27	0.78	0.16	0.12	1983	0.6	0	0	0
"Block Group 2, Census Tract 6.01, Craighead County, Arkansas"	545.6	2.23	0.44	0.67	294	0.37	0	0.35	0.09	0.55	0.26	0.19	0.69	0.41	0.15	0.62	0.13	0.12	1978	0.71	0.72	0.08	0
"Block Group 3, Census Tract 6.01, Craighead County, Arkansas"	3878.5	0.79	0.58	0.95	175	0.51	0	0.12	0.08	0.66	0.11	0.27	0.65	0.62	0.21	0.66	0.09	0.16	1988	0.94	0.07	0.06	0
"Block Group 4, Census Tract 6.01, Craighead County, Arkansas"	1173.7	0.85	0.46	0	248	0.61	0	0.42	0	0.44	0.23	0	0.53	0.2	0.05	0.16	0.27	0.09	1999	0.6	0.6	0	0
"Block Group 1, Census Tract 6.02, Craighead County, Arkansas"	984.9	0.45	0.54	0.45	63	0.27	0	0.37	0.07	0.43	0	0.16	0.39	0.37	0.3	0.46	0.08	0	1995	0.83	0.31	0.51	0
"Block Group 2, Census Tract 6.02, Craighead County, Arkansas"	4067.9	0.27	0.53	0.67	0	0.62	0	0.24	0.03	0	0.05	0.47	0.47	0.35	0.17	0.59	0.05	0.05	1981	0.82	0.28	0.2	0
"Block Group 3, Census Tract 6.02, Craighead County, Arkansas"	7310.7	0.1	0.44	0.86	0	0.42	0	0.3	0.06	0	0	0.42	0.48	0.28	0.4	0.39	0.12	0.03	1983	0.81	0.28	0.19	0
"Block Group 4, Census Tract 6.02, Craighead County, Arkansas"	3153.3	0.78	0.55	0	13	0.81	0	0.01	0.06	1	0	0.17	0.49	0.11	0.01	0.14	0	0	1995	0.9	0.21	0.04	0
"Block Group 5, Census Tract 6.02, Craighead County, Arkansas"	13102.1	0.06	0.54	0.47	49	0.32	0	0.12	0.15	1	0.08	0.09	0.48	0.35	0.07	0.41	0.21	0	1978	0.83	0.18	0.61	0
"Block Group 1, Census Tract 7.01, Craighead County, Arkansas"	163.7	8.67	0.5	0.38	512	0.65	0	0.42	0.02	0.78	0.34	0.5	1	0.36	0.29	0.57	0.11	0.19	1997	0.75	0	0.06	0
"Block Group 2, Census Tract 7.01, Craighead County, Arkansas"	314.2	9.4	0.5	0.32	719	0.49	0.26	0.23	0.02	0.57	0.36	0.59	0.87	0.42	0.16	0.83	0.22	0.13	1992	0.47	0.32	0.14	0
"Block Group 1, Census Tract 7.02, Craighead County, Arkansas"	2152.2	0.89	0.55	0.71	398	0.46	0	0.25	0.09	0.5	0.02	0.48	0.7	0.56	0.41	0.66	0.03	0.12	1985	0.67	0.29	0.14	0
"Block Group 2, Census Tract 7.02, Craighead County, Arkansas"	175.6	2.38	0.24	0.7	114	0.3	0	0.41	0	0.38	0.17	0.78	0.53	0.16	0.11	0.53	0.04	0.17	1966	0	0.72	0	0
"Block Group 3, Census Tract 7.02, Craighead County, Arkansas"	121.2	11.04	0.42	0	461	0.64	0	0.21	0	0.45	0.13	0.56	0.76	0.4	0.34	0.67	0.23	0.08	1995	0.51	0	0.19	0
"Block Group 1, Census Tract 8.03, Craighead County, Arkansas"	2065.7	1	0.51	0.26	614	0.8	0	0.14	0.01	0.68	0.49	0.85	1	0.52	0.28	0.93	0.05	0.31	2003	0.48	0.09	0.01	0
"Block Group 2, Census Tract 8.03, Craighead County, Arkansas"	440.7	3.5	0.46	0.12	402	0.88	0	0.07	0.02	0.76	0.17	0.79	0.92	0.69	0.17	0.93	0.22	0.26	2011	0.72	0	0.15	0
"Block Group 3, Census Tract 8.03, Craighead County, Arkansas"	979.1	2.47	0.51	0	917	0.76	0	0.06	0.01	0.85	0.14	0.81	0.98	0.52	0.4	0.88	0.1	0.35	2002	0.6	0	0.03	0
"Block Group 1, Census Tract 8.04, Craighead County, Arkansas"	200.8	4.84	0.52	0	228	0.8	0	0.09	0	0.75	0.13	0.68	0.97	0.71	0.26	0.81	0.33	0.17	1999	0.68	1	0.07	0
"Block Group 2, Census Tract 8.04, Craighead County, Arkansas"	1373.8	1.45	0.52	0.02	696	0.81	0	0.05	0.01	0.61	0.2	0.61	0.92	0.36	0.22	0.89	0.14	0.34	1992	0.34	0	0	0
"Block Group 1, Census Tract 8.05, Craighead County, Arkansas"	3133.1	0.51	0.57	0.16	472	0.76	0	0.16	0.03	0.48	0.41	0.41	0.94	0.37	0.2	0.69	0.05	0.09	1999	0.23	0.09	0.06	0
"Block Group 2, Census Tract 8.05, Craighead County, Arkansas"	2850.1	0.45	0.59	0.74	243	0.6	0	0.16	0.17	0.68	0.02	0.48	0.91	0.25	0.25	0.44	0.12	0.23	2006	0.74	0	0.09	0
"Block Group 3, Census Tract 8.05, Craighead County, Arkansas"	2532.2	0.43	0.58	0.79	87	0.54	0	0.16	0.06	0.18	0.23	0.3	0.61	0.18	0.11	0.46	0.02	0.13	1994	0.77	0.24	0.05	0
"Block Group 1, Census Tract 8.06, Craighead County, Arkansas"	507.4	3.44	0.48	0	557	0.79	0	0.14	0.03	0.79	0.13	0.56	0.92	0.41	0.42	0.82	0.29	0.31	1993	0.54	0	0.09	0
